Title,year,pop_under_npl,rate,gini,comparability,source,link,upi,last_submit
AFG,2000,,,,,,,,
AFG,2001,,,,,,,,
AFG,2002,,,,,,,,
AFG,2003,,,,,,,,
AFG,2004,,,,,,,,
AFG,2005,,,,,,,,
AFG,2006,,,,,,,,
AFG,2007,,33.7,25,,National Risk and Vulnerability Assessment (NRVA) 2007-08,,Eduardo Alonso Malasquez Carbonel,3/25/2025 11:56
AFG,2008,,,,,,,,
AFG,2009,,,,,,,,
AFG,2010,,,,,,,,
AFG,2011,,38.3,29.2,Yes,National Risk and Vulnerability Assessment (NRVA) 2011-12,,Eduardo Alonso Malasquez Carbonel,3/25/2025 11:56
AFG,2012,,,,,,,,
AFG,2013,,,,,,,,
AFG,2014,,,,,,,,
AFG,2015,,,,,,,,
AFG,2016,,54.5,26.6,Yes,Afghanistan Living Conditions Surveys (ALCS) 2016-17 ,,Eduardo Alonso Malasquez Carbonel,3/25/2025 11:56
AFG,2017,,,,,,,,
AFG,2018,,,,,,,Anais Dahmani Scuitti,3/24/2025 16:56
AFG,2019,1791642880,47.1,27.3,Yes,"Income, Expenditure, and Labor Force Survey (IELFS) 2019-20 ",,Aissatou Ouedraogo,3/25/2025 8:07
AFG,2020,,,,,,,,
AFG,2021,,,,,,,,
AFG,2022,,,,,,,,
AFG,2023,,,,,,,,
AFG,2024,,,,,,,,
AGO,2000,,,,,,,,
AGO,2001,,,,,,,,
AGO,2002,,,,,,,,
AGO,2003,,,,,,,,
AGO,2004,,,,,,,,
AGO,2005,,,,,,,,
AGO,2006,,,,,,,,
AGO,2007,,,,,,,,
AGO,2008,7963948,36.6,,No,WDI,,,
AGO,2009,,,,,,,,
AGO,2010,,,,,,,,
AGO,2011,,,,,,,,
AGO,2012,,,,,,,,
AGO,2013,,,,,,,,
AGO,2014,,,,,,,,
AGO,2015,,,,,,,,
AGO,2016,,,,,,,,
AGO,2017,,,,,,,,
AGO,2018,,32.3,,No,World Bank Poverty Assessment (2020),,,
AGO,2019,,,,,,,,
AGO,2020,,,,,,,,
AGO,2021,,,,,,,,
AGO,2022,,,,,,,,
AGO,2023,,,,,,,,
AGO,2024,,,,,,,,
ALB,2000,,,,,,,,
ALB,2001,,,,,,,,
ALB,2002,774957,25.4,31.73898,Yes,WDI,,,
ALB,2003,,,,,,,,
ALB,2004,,,,,,,,
ALB,2005,557125,18.5,30.59566,Yes,WDI,,,
ALB,2006,,,,,,,,
ALB,2007,,,,,,,,
ALB,2008,,,,,,,,
ALB,2009,,,,,,,,
ALB,2010,,,,,,,,
ALB,2011,,,,,,,,
ALB,2012,,,,,,,,
ALB,2013,,,,,,,,
ALB,2014,,,,,,,,
ALB,2015,,,,,,,,
ALB,2016,681636,23.7,,Yes,EUROSTAT,,,
ALB,2017,,23.4,,Yes,EUROSTAT,,,
ALB,2018,660175,23,,Yes,EUROSTAT,,,
ALB,2019,624009,21.8,,Yes,EUROSTAT,,Zurab Sajaia,4/14/2025 11:26
ALB,2020,626110,22,33,Yes,INSTAT,,Zurab Sajaia,4/14/2025 11:26
ALB,2021,,20.6,31,Yes,INSTAT,,Zurab Sajaia,4/14/2025 11:26
