Title,year,population_wdi,pop_under_npl,rate,gini,comparability,source,link
BEN,2001,7212041,,,,,,
BEN,2002,7431783,,,,,,
BEN,2003,7659208,,,,,,
BEN,2004,7894554,,,,,,
BEN,2005,8149419,,,,,,
BEN,2006,8402631,3081336,37.5,,Yes,INSAE,
BEN,2007,8647761,2790081,33,,Yes,INSAE,
BEN,2008,8906469,,,,,,
BEN,2009,9172514,,,,,,
BEN,2010,9445710,3238139,35.2,,Yes,INSAE,
BEN,2011,9726380,3424810,36.2,,Yes,INSAE,
BEN,2012,10014078,,,,,,
BEN,2013,10308730,,,,,,
BEN,2014,10614844,,,,,,
BEN,2015,10932783,4240957,40.1,47.8,Yes,INSAE,
BEN,2016,11260085,,,,,,
BEN,2017,11596779,,,,,,
BEN,2018,11940683,,,,,,
BEN,2019,12290444,4900000,38.5,34.7,Yes,INSAE,
BEN,2020,12643123,,,,,,
BEN,2021,12996895,,36.2,32.6,No,INSAE,
BEN,2022,13352864,,,,,,
BEN,2023,13712828,,,,,,
BEN,2024,14080072,,,,,,
BFA,2000,11882888,,,,,,
BFA,2001,12249764,,,,,,
BFA,2002,12632269,,,,,,
BFA,2003,13030591,6466511,51.1,43.25251,Yes,WDI,
BFA,2004,13445977,,,,,,
BFA,2005,13876127,,,,,,
BFA,2006,14316242,,,,,,
BFA,2007,14757074,,,,,,
BFA,2008,15197915,,,,,,
BFA,2009,15650022,7070893,46.7,39.76224,Yes,WDI,
BFA,2010,16116845,,,,,,
BFA,2011,16602651,,,,,,
BFA,2012,17113732,,,,,,
BFA,2013,17636408,,,,,,
BFA,2014,18169842,7051977,40.1,35.30123,Yes,WDI,
BFA,2015,18718019,,,,,,
BFA,2016,19275498,,,,,,
BFA,2017,19835858,,,,,,
BFA,2018,20392723,8400000,41.4,43.538,No,INSD,
BFA,2019,20951639,,,,,,
BFA,2020,21522626,,,,,,
BFA,2021,22100683,9549705,43.21,36.1,Yes,INSD,
BFA,2022,22673762,,,,,,
BFA,2023,23251485,,,,,,
BFA,2024,23853981,,,,,,
BGD,2000,129193327,64352400,48.9,33.40653,,,
BGD,2001,131670484,,,,,,
BGD,2002,134139826,,,,,,
BGD,2003,136503206,,,,,,
BGD,2004,138789725,,,,,,
BGD,2005,140912590,57360000,40,33.20129,Yes,,
BGD,2006,142628831,,,,,,
BGD,2007,144135934,,,,,,
BGD,2008,145421318,,,,,,
BGD,2009,146706810,,,,,,
BGD,2010,148391139,47911500,31.5,32.1,Yes,,
BGD,2011,150211005,,,,,,
BGD,2012,152090649,,,,,,
BGD,2013,154030139,,,,,,
BGD,2014,155961299,,,,,,
BGD,2015,157830000,,,,,,
BGD,2016,159784568,39609000,24.3,32.38527,Yes,,
BGD,2017,161793964,,,,,,
BGD,2018,163683958,,,,,,
BGD,2019,165516222,,,,,,
BGD,2020,167420951,,,,,,
BGD,2021,169356251,,,,,,
BGD,2022,171186372,30884660,18.7,33.4,No,,
BGD,2023,172954319,,,,,,
BGD,2024,174701218,,,,,,
BGR,2000,8170172,1146723,14,,,Eurostat,
BGR,2001,8009142,1303915,16,,Yes,Eurostat,
BGR,2002,7837161,1101634,14,,Yes,Eurostat,
BGR,2003,7775327,,,,,,
BGR,2004,7716860,,,,,,
BGR,2005,7658972,1414697,18.4,,No,Eurostat,
BGR,2006,7601022,1678462,22,,Yes,EUROSTAT,
BGR,2007,7545338,1620552,21.4,,Yes,EUROSTAT,
BGR,2008,7492561,1638924,21.8,,Yes,EUROSTAT,
BGR,2009,7444443,1545694,20.7,,Yes,EUROSTAT,
BGR,2010,7395599,1647632,22.2,,Yes,EUROSTAT,
BGR,2011,7348328,1562319,21.2,,Yes,EUROSTAT,
BGR,2012,7305888,1538717,21,35.4,Yes,EUROSTAT,
BGR,2013,7265115,1588032,21.8,35.4,Yes,EUROSTAT,
BGR,2014,7223938,1594049,22,37,Yes,EUROSTAT,
BGR,2015,7177991,1649303,22.9,37.7,No,EUROSTAT,
BGR,2016,7127822,1673985,23.4,40.2,Yes,EUROSTAT,
BGR,2017,7075947,1562409,22,39.6,Yes,EUROSTAT,
BGR,2018,7025037,1593308,22.6,40.8,Yes,EUROSTAT,
BGR,2019,6975761,1666009,23.8,40,Yes,EUROSTAT,
BGR,2020,6934015,1536278,22.1,39.7,Yes,EUROSTAT,
BGR,2021,6877743,1493032,22.9,38.4,Yes,Eurostat,
BGR,2022,6465097,1331810,20.6,37.2,Yes,Eurostat,
BGR,2023,6430370,1395390,21.7,38.4,Yes,Eurostat,
BGR,2024,6334000,,,,,,
BLR,2000,9979610,4181457,41.9,31.16748,,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2001,9928549,2869351,28.9,30.57672,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2002,9865548,3008992,30.5,30.33624,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2003,9796749,2654919,27.1,28.82101,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2004,9730146,1731966,17.8,26.47989,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2005,9663915,1227317,12.7,27.55341,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2006,9604924,1066147,11.1,28.27544,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2007,9560953,736193,7.7,29.61238,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2008,9527985,581207,6.1,27.82604,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2009,9504583,513365,5.4,27.68931,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2010,9483836,493510,5.2,,Yes,,
BLR,2011,9461643,691542,7.3,27.15255,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2012,9446836,596263,6.3,26.5262,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2013,9443211,520630,5.5,26.57505,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2014,9448515,454777,4.8,27.17667,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2015,9461076,483970,5.1,25.63323,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2016,9469379,541587,5.7,25.30662,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2017,9458989,560965,5.9,25.44457,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2018,9438785,,5.6,25.2,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2019,9419758,464247,5,,Yes,Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.,
BLR,2020,9379952,,4.8,,Yes,,
BLR,2021,9302585,,4.1,,Yes,,
BLR,2022,9228071,359895,3.9,,Yes,,
BLR,2023,9178298,330419,3.6,,Yes,,
BLR,2024,9128762,319507,3.5,,Yes,,
BLZ,2000,240799,,,,,,
BLZ,2001,248379,,,,,,
BLZ,2002,256009,,34.1,0.4,,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/2017/05/Poverty_Assessment_Report_2009.pdf
BLZ,2003,263780,,,,,,
BLZ,2004,271688,,,,,,
BLZ,2005,279731,,,,,,
BLZ,2006,287878,,,,,,
BLZ,2007,296100,,,,,,
BLZ,2008,304361,,,,,,
BLZ,2009,312614,"136,640",41.3,0.42,Yes,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/2017/05/Poverty_Assessment_Report_2009.pdf
BLZ,2010,320245,,,,,,
BLZ,2011,327298,,,,,,
BLZ,2012,334414,,,,,,
BLZ,2013,341627,,,,,,
BLZ,2014,348923,,,,,,
BLZ,2015,356333,,,,,,
BLZ,2016,364705,,,,,,
BLZ,2017,373202,,,,,,
BLZ,2018,380226,,52,,Yes,Statistical Institute of Belize,https://sib.org.bz/wp-content/uploads/PovertyInfographic.pdf
BLZ,2019,385829,,,,,,
BLZ,2020,390812,,,,,,
BLZ,2021,395346,,,,,,
BLZ,2022,402733,,,,,,
BLZ,2023,411106,,,,,,
BLZ,2024,417072,,,,,,
BOL,2000,8592656,5537436,66.4,,,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2001,8746084,5361213,63.1,,Yes,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2002,8900583,5477567,63.3,,Yes,Encuesta de Mejoramiento de Condiciones de Vida; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2003,9057378,,,,,,
BOL,2004,9216279,5658645,63.1,,No,Encuesta Continua de los Hogares 2003-2004; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2005,9377388,5674742,60.59,60.03,No,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2006,9542663,5752902,59.92,59.18,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2007,9711152,5919766,60.1,56.44,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2008,9880593,5732617,57.33,51.74,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2009,10051317,5269390,51.31,50.2,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2010,10223270,,,,,,
BOL,2011,10396246,4618302,45.1,46.62,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2012,10569697,4493134,43.31,47.09,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2013,10743349,4104106,38.91,47.84,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2014,10916987,4191943,39.15,47.67,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2015,11090085,4195407,38.56,46.47,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2016,11263015,4745289,43,46.35,No,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2017,11435533,4735019,42.24,45.61,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2018,11606905,4534566,39.9,43.25,Yes,,
BOL,2019,11777315,4282674,37.17,42.45,Yes,"Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate. In 2019, Bolivia updated its poverty line.",
BOL,2020,11936162,4581969,39.05,45.23,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2021,12079472,4331273,36.41,42,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2022,12224110,4552655,37.74,42.6,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2023,12388571,4460416,36.48,43.4,Yes,Encuesta de Hogares; Moderate Poverty Line (individuals) (www.ine.gov.bo and www.udape.gov.bo) . Poverty line is absolute. Government estimate.,
BOL,2024,12567335,,,,,,
BRA,2000,175873720,,,,,,
BRA,2001,178211881,,,58.4,,,
BRA,2002,180476685,,,58.11,,,
BRA,2003,182629278,,,57.55,,,
BRA,2004,184722043,,,56.47,,,
BRA,2005,186797334,,,56.31,,,
BRA,2006,188820682,,,55.64,,,
BRA,2007,190779453,,,54.92,,,
BRA,2008,192672317,,,54.04,,,
BRA,2009,194517549,,,53.68,,,
BRA,2010,196353492,,,,,,
BRA,2011,198185302,,,52.94,,,
BRA,2012,199977707,,,53.44,,,
BRA,2013,201721767,,,52.68,,,
BRA,2014,203459650,,,52.03,,,
BRA,2015,205188205,,,51.93,,,
BRA,2016,206859578,,,53.37,,,
BRA,2017,208504960,,,53.32,,,
BRA,2018,210166592,,,53.89,,,
BRA,2019,211782878,,,53.51,,,
BRA,2020,213196304,,,48.9,,,
BRA,2021,214326223,,,52.94,,,
BRA,2022,215313498,,,52.02,,,
BRA,2023,216422446,,,51.6,,,
BRA,2024,205207611,,,50.3,,,
BRB,2000,262063,,,,,,
BRB,2001,262425,,,,,,
BRB,2002,264148,,,,,,
BRB,2003,265776,,,,,,
BRB,2004,267298,,,,,,
BRB,2005,268706,,,,,,
BRB,2006,270002,,,,,,
BRB,2007,271288,,,,,,
BRB,2008,272714,,,,,,
BRB,2009,274123,,,,,,
BRB,2010,275243,,,,,,
BRB,2011,276139,,,,,,
BRB,2012,276938,,,,,,
BRB,2013,277665,,,,,,
BRB,2014,278348,,,,,,
BRB,2015,278990,,,,,,
BRB,2016,279598,,25.7,0.32,,BSLC Methodological Note,https://publications.iadb.org/en/barbados-survey-living-conditions-2016
BRB,2017,280171,,,,,,
BRB,2018,280711,,,,,,
BRB,2019,281207,,,,,,
BRB,2020,281698,,,,,,
BRB,2021,282147,,,,,,
BRB,2022,282318,,,,,,
BRB,2023,282336,,,,,,
BRB,2024,282467,,,,,,
BTN,2000,587207,,,,,,
BTN,2001,603234,,,,,,
BTN,2002,619048,,,,,,
BTN,2003,634627,,,,,,
BTN,2004,649991,,,,,,
BTN,2005,663323,,,,,,
BTN,2006,673260,,,,,,
BTN,2007,681614,157667,23.2,38.09,Yes,PovcalNet,
BTN,2008,689737,,,,,,
BTN,2009,697678,,,,,,
BTN,2010,705516,,,,,,
BTN,2011,713331,,,,,,
BTN,2012,721145,82010,12,38.81,Yes,PovcalNet,
BTN,2013,728889,,,,,,
BTN,2014,736357,,,,,,
BTN,2015,743274,,,,,,
BTN,2016,749761,,,,,,
BTN,2017,756121,59626,8.2,37.44,Yes,PovcalNet,
BTN,2018,762096,,,,,,
BTN,2019,767459,,,,,,
BTN,2020,772506,,,,,,
BTN,2021,777486,,,,,,
BTN,2022,782455,97024,12.4,28.5,No,PovcalNet,
BTN,2023,787424,,,,,,
BTN,2024,792380,,,,,,
BWA,2000,1677382,,,,,,
BWA,2001,1712254,,,,,,
BWA,2002,1744763,544666,30.6,64.7,Yes,Statistics Botswana,
BWA,2003,1775736,,,,,,
BWA,2004,1807146,,,,,,
BWA,2005,1839877,,,,,,
BWA,2006,1874516,,,,,,
BWA,2007,1911201,,,,,,
BWA,2008,1949970,,,,,,
BWA,2009,1990673,382117,19.3,60.5,Yes,Statistics Botswana,
BWA,2010,2033111,,,,,,
BWA,2011,2073535,,,,,,
BWA,2012,2108617,,,,,,
BWA,2013,2140682,,,,,,
BWA,2014,2172044,,,,,,
BWA,2015,2203273,355681,16.1,54.9,Yes,Statistics Botswana,
BWA,2016,2234776,,,,,,
BWA,2017,2266747,,,,,,
BWA,2018,2299141,,,,,,
BWA,2019,2332083,,,,,,
BWA,2020,2365894,,,,,,
BWA,2021,2401441,,,,,,
BWA,2022,2439892,,,,,,
BWA,2023,2480244,,,,,,
BWA,2024,2521139,,,,,,
CAF,2000,3759170,,,,,,
CAF,2001,3844773,,,,,,
CAF,2002,3930648,,,,,,
CAF,2003,4026841,,,,,,
CAF,2004,4115138,,,,,,
CAF,2005,4208834,,,,,,
CAF,2006,4294352,,,,,,
CAF,2007,4375569,,,,,,
CAF,2008,4467233,2694139,62,,Yes,WDI,
CAF,2009,4564540,,,,,,
CAF,2010,4660067,,,,,,
CAF,2011,4732022,,,,,,
CAF,2012,4773306,,,,,,
CAF,2013,4802428,,,,,,
CAF,2014,4798734,,,,,,
CAF,2015,4819333,,,,,,
CAF,2016,4904177,,,,,,
CAF,2017,4996741,,,,,,
CAF,2018,5094780,,,,,,
CAF,2019,5209324,,,,,,
CAF,2020,5343020,,,,,,
CAF,2021,5457154,4193536,68.83,43,No,2021 EHCVM,
CAF,2022,5579144,,,,,,
CAF,2023,5742315,,,,,,
CAF,2024,5915627,,,,,,
CHL,2000,15351799,5494591,36,52.77201,,WDI ,
CHL,2001,15523978,,,,,,
CHL,2002,15693790,,,,,,
CHL,2003,15859112,5593038,35.4,51.48987,,WDI,
CHL,2004,16017966,,,,,,
CHL,2005,16175311,,,,,,
CHL,2006,16334575,4708507,28.7,49.80314549,Yes,MDSF,
CHL,2007,16495538,,,,,,
CHL,2008,16661462,,,,,,
CHL,2009,16833447,4200007,24.8,49.51807953,Yes,MDSF,
CHL,2010,17004162,,,,,,
CHL,2011,17173573,3763490,21.7,48.86817629,Yes,MDSF,
CHL,2012,17341771,,,,,,
CHL,2013,17509925,2456069,13.9,48.94449584,Yes,MDSF,
CHL,2014,17687108,,,,,,
CHL,2015,17870124,2015305,11.2,47.97036543,Yes,MDSF,
CHL,2016,18083879,,,,,,
CHL,2017,18368577,1570275,8.5,48.44726089,Yes,MDSF,
CHL,2018,18701450,,,,,,
CHL,2019,19039485,,,,,,
CHL,2020,19300315,2081030,10.7,50.93734511,Yes,MDSF,
CHL,2021,19493184,,,,,,
CHL,2022,19603733,1291824,6.5,47.02100269,Yes,MDSF,
CHL,2023,19629590,,,,,,
CHL,2024,19658838,,,,,,
CHN,2000,1262645000,,49.8,,,Poverty: 2019 China Yearbook,
CHN,2001,1271850000,,,,,,
CHN,2002,1280400000,,,,,,
CHN,2003,1288400000,,,47.9,,,
CHN,2004,1296075000,,,47.3,,,
